id,value
tanzu,
tanzu.builder,
tanzu.builder.cli,
tanzu.builder.cli.add-plugin,
tanzu.builder.cli.compile,
tanzu.builder.init,
tanzu.test,
tanzu.test.fetch,
tanzu.test.plugin,
tanzu.test.plugin.alpha,
tanzu.test.plugin.builder,
tanzu.test.plugin.cluster,
tanzu.test.plugin.login,
tanzu.test.plugin.package,
tanzu.test.plugin.pinniped-auth,
tanzu.package,
tanzu.package.configure,
tanzu.package.delete,
tanzu.package.install,
tanzu.package.list,
tanzu.package.repository,
tanzu.package.repository.delete,
tanzu.package.repository.install,
tanzu.package.repository.list,
tanzu.cluster,
tanzu.cluster.create,
tanzu.cluster.credentials,
tanzu.cluster.credentials.update,
tanzu.cluster.delete,
tanzu.cluster.get,
tanzu.cluster.kubeconfig,
tanzu.cluster.kubeconfig.get,
tanzu.cluster.list,
tanzu.cluster.scale,
tanzu.cluster.upgrade,
tanzu.kubernetes-release,
tanzu.kubernetes-release.get,
tanzu.kubernetes-release.os,
tanzu.kubernetes-release.os.get,
tanzu.management-cluster,
tanzu.management-cluster.create,
tanzu.management-cluster.credentials,
tanzu.management-cluster.credentials.update,
tanzu.management-cluster.delete,
tanzu.management-cluster.get,
tanzu.management-cluster.import,
tanzu.management-cluster.kubeconfig,
tanzu.management-cluster.kubeconfig.get,
tanzu.management-cluster.permissions,
tanzu.management-cluster.permissions.aws,
tanzu.management-cluster.permissions.aws.set,
tanzu.management-cluster.register,
tanzu.management-cluster.upgrade,
tanzu.completion,
tanzu.config,
tanzu.config.init,
tanzu.config.server,
tanzu.config.server.delete,
tanzu.config.server.list,
tanzu.config.show,
tanzu.init,
tanzu.login,
tanzu.plugin,
tanzu.plugin.clean,
tanzu.plugin.delete,
tanzu.plugin.describe,
tanzu.plugin.install,
tanzu.plugin.list,
tanzu.plugin.repo,
tanzu.plugin.repo.add,
tanzu.plugin.repo.delete,
tanzu.plugin.repo.list,
tanzu.plugin.repo.update,
tanzu.plugin.upgrade,
tanzu.update,
tanzu.version,
tanzu.alpha,
