tanzu
tanzu,builder
tanzu,builder,cli
tanzu,builder,cli,compile
tanzu,builder,init
tanzu,builder,inventory
tanzu,builder,inventory,init
tanzu,builder,inventory,plugin
tanzu,builder,inventory,plugin,activate
tanzu,builder,inventory,plugin,add
tanzu,builder,plugin
tanzu,builder,plugin,build
tanzu,builder,publish
tanzu,test
tanzu,test,fetch
tanzu,apps
tanzu,apps,workload
tanzu,apps,workload,apply
tanzu,apps,workload,create
tanzu,apps,workload,delete
tanzu,apps,workload,get
tanzu,apps,workload,list
tanzu,apps,workload,tail
tanzu,build-service
tanzu,build-service,build
tanzu,build-service,build,list
tanzu,build-service,build,logs
tanzu,build-service,build,status
tanzu,build-service,builder
tanzu,build-service,builder,list
tanzu,build-service,builder,status
tanzu,build-service,buildpack
tanzu,build-service,buildpack,list
tanzu,build-service,buildpack,status
tanzu,build-service,clusterstack
tanzu,build-service,clusterstack,list
tanzu,build-service,clusterstack,status
tanzu,build-service,clusterstore
tanzu,build-service,clusterstore,list
tanzu,build-service,clusterstore,status
tanzu,build-service,image
tanzu,build-service,image,list
tanzu,build-service,image,status
tanzu,build-service,image,trigger
tanzu,insight
tanzu,insight,config
tanzu,insight,health
tanzu,insight,image
tanzu,insight,image,add
tanzu,insight,image,get
tanzu,insight,image,packages
tanzu,insight,package
tanzu,insight,package,get
tanzu,insight,package,images
tanzu,insight,package,sources
tanzu,insight,source
tanzu,insight,source,add
tanzu,insight,source,get
tanzu,insight,source,packages
tanzu,insight,triage
tanzu,insight,triage,copy
tanzu,insight,triage,list
tanzu,insight,triage,update
tanzu,services
tanzu,services,claimable
tanzu,services,claimable,list
tanzu,services,class-claim
tanzu,services,class-claim,create
tanzu,services,class-claim,delete
tanzu,services,class-claim,get
tanzu,services,class-claim,list
tanzu,services,classes
tanzu,services,classes,get
tanzu,services,classes,list
tanzu,external-secrets
tanzu,external-secrets,secrets
tanzu,external-secrets,secrets,create
tanzu,external-secrets,secrets,list
tanzu,external-secrets,secrets,sync
tanzu,external-secrets,stores
tanzu,external-secrets,stores,create
tanzu,external-secrets,stores,list
tanzu,accelerator
tanzu,accelerator,apply
tanzu,accelerator,create
tanzu,accelerator,delete
tanzu,accelerator,fragment
tanzu,accelerator,fragment,create
tanzu,accelerator,fragment,delete
tanzu,accelerator,fragment,get
tanzu,accelerator,fragment,list
tanzu,accelerator,fragment,update
tanzu,accelerator,generate
tanzu,accelerator,get
tanzu,accelerator,list
tanzu,accelerator,push
tanzu,accelerator,update
tanzu,package
tanzu,package,available
tanzu,package,init
tanzu,package,install
tanzu,package,installed
tanzu,package,release
tanzu,package,repository
tanzu,secret
tanzu,secret,registry
tanzu,secret,registry,add
tanzu,secret,registry,delete
tanzu,secret,registry,list
tanzu,secret,registry,update
tanzu,telemetry
tanzu,telemetry,metadata
tanzu,telemetry,metadata,status
tanzu,telemetry,metadata,update
tanzu,telemetry,participation
tanzu,telemetry,participation,status
tanzu,telemetry,participation,update
tanzu,completion
tanzu,config
tanzu,config,cert
tanzu,config,cert,add
tanzu,config,cert,delete
tanzu,config,cert,list
tanzu,config,cert,update
tanzu,config,eula
tanzu,config,eula,accept
tanzu,config,eula,show
tanzu,config,get
tanzu,config,init
tanzu,config,set
tanzu,config,unset
tanzu,context
tanzu,context,create
tanzu,context,delete
tanzu,context,get
tanzu,context,list
tanzu,context,unset
tanzu,context,use
tanzu,init
tanzu,plugin
tanzu,plugin,clean
tanzu,plugin,delete
tanzu,plugin,describe
tanzu,plugin,group
tanzu,plugin,group,get
tanzu,plugin,group,search
tanzu,plugin,install
tanzu,plugin,list
tanzu,plugin,search
tanzu,plugin,source
tanzu,plugin,source,init
tanzu,plugin,source,list
tanzu,plugin,source,update
tanzu,plugin,sync
tanzu,plugin,upgrade
tanzu,version
tanzu,kubernetes
tanzu,kubernetes,apps
