vke
vke,account
vke,account,show
vke,account,login
vke,organization
vke,organization,show
vke,organization,iam
vke,organization,iam,show
vke,organization,iam,export
vke,organization,iam,import
vke,organization,iam,add
vke,organization,iam,remove
vke,info
vke,info,region
vke,info,region,list
vke,iam
vke,iam,role
vke,iam,role,list
vke,iam,user
vke,iam,user,show
vke,iam,user,list
vke,iam,group
vke,iam,group,create
vke,iam,group,delete
vke,iam,group,show
vke,iam,group,list
vke,iam,group,member
vke,iam,group,member,add
vke,iam,group,member,remove
vke,iam,group,member,list
vke,folder
vke,folder,create
vke,folder,delete
vke,folder,show
vke,folder,get
vke,folder,set
vke,folder,unset
vke,folder,list
vke,folder,iam
vke,folder,iam,show
vke,folder,iam,export
vke,folder,iam,import
vke,folder,iam,add
vke,folder,iam,remove
vke,project
vke,project,create
vke,project,delete
vke,project,show
vke,project,get
vke,project,set
vke,project,unset
vke,project,list
vke,project,iam
vke,project,iam,show
vke,project,iam,export
vke,project,iam,import
vke,project,iam,add
vke,project,iam,remove
vke,cluster
vke,cluster,templates
vke,cluster,templates,list
vke,cluster,versions
vke,cluster,versions,list
vke,cluster,create
vke,cluster,show
vke,cluster,show-health
vke,cluster,list
vke,cluster,rename
vke,cluster,delete
vke,cluster,upgrade
vke,cluster,maintain
vke,cluster,get-kubectl-auth
vke,cluster,merge-kubectl-auth
vke,cluster,iam
vke,cluster,iam,show
vke,cluster,iam,export
vke,cluster,iam,import
vke,cluster,iam,add
vke,cluster,iam,remove
vke,cluster,namespace
vke,cluster,namespace,create
vke,cluster,namespace,delete
vke,cluster,namespace,show
vke,cluster,namespace,list
vke,cluster,namespace,iam
vke,cluster,namespace,iam,show
vke,cluster,namespace,iam,export
vke,cluster,namespace,iam,import
vke,cluster,namespace,iam,add
vke,cluster,namespace,iam,remove
vke,cluster,peering
vke,cluster,peering,create
vke,cluster,peering,delete
vke,cluster,peering,rename
vke,cluster,peering,show
vke,cluster,peering,list
vke,documentation
vke,help
