tkg
tkg,add
tkg,add,management-cluster
tkg,config
tkg,config,cluster
tkg,create
tkg,create,cluster
tkg,delete
tkg,delete,cluster
tkg,delete,management-cluster
tkg,get
tkg,get,cluster
tkg,get,credentials
tkg,get,management-cluster
tkg,help
tkg,init
tkg,scale
tkg,scale,cluster
tkg,set
tkg,set,management-cluster
tkg,version
