aws
aws,cloudfront,list-invalidations
aws,cloudfront,list-streaming-distributions
aws,cloudfront,sign
aws,cloudfront,update-cloud-front-origin-access-identity
aws,cloudfront,update-distribution
aws,cloudfront,update-streaming-distribution
aws,cloudfront,wait
aws,cloudfront,wait,distribution-deployed
aws,cloudfront,wait,invalidation-completed
aws,cloudfront,wait,streaming-distribution-deployed
aws,cloudhsm
aws,cloudhsm,add-tags-to-resource
aws,cloudhsm,create-hapg
aws,cloudhsm,create-hsm
aws,cloudhsm,create-luna-client
aws,cloudhsm,delete-hapg
aws,cloudhsm,delete-hsm
aws,cloudhsm,delete-luna-client
aws,cloudhsm,describe-hapg
aws,cloudhsm,describe-hsm
aws,cloudhsm,describe-luna-client
aws,cloudhsm,get-config
aws,cloudhsm,list-available-zones
aws,cloudhsm,list-hapgs
aws,cloudhsm,list-hsms
aws,cloudhsm,list-luna-clients
aws,cloudhsm,list-tags-for-resource
aws,cloudhsm,modify-hapg
aws,cloudhsm,modify-hsm
aws,cloudhsm,modify-luna-client
aws,cloudhsm,remove-tags-from-resource
aws,cloudsearch
aws,cloudsearch,build-suggesters
aws,cloudsearch,create-domain
aws,cloudsearch,define-analysis-scheme
aws,cloudsearch,define-expression
aws,cloudsearch,define-index-field
aws,cloudsearch,define-suggester
aws,cloudsearch,delete-analysis-scheme
aws,cloudsearch,delete-domain
aws,cloudsearch,delete-expression
aws,cloudsearch,delete-index-field
aws,cloudsearch,delete-suggester
aws,cloudsearch,describe-analysis-schemes
aws,cloudsearch,describe-availability-options
aws,cloudsearch,describe-domains
aws,cloudsearch,describe-expressions
aws,cloudsearch,describe-index-fields
aws,cloudsearch,describe-scaling-parameters
aws,cloudsearch,describe-service-access-policies
aws,cloudsearch,describe-suggesters
aws,cloudsearch,index-documents
aws,cloudsearch,list-domain-names
aws,cloudsearch,update-availability-options
aws,cloudsearch,update-scaling-parameters
aws,cloudsearch,update-service-access-policies
aws,cloudsearchdomain
aws,cloudsearchdomain,search
aws,cloudsearchdomain,suggest
aws,cloudsearchdomain,upload-documents
aws,cloudtrail
aws,cloudtrail,add-tags
aws,cloudtrail,create-subscription
aws,cloudtrail,create-trail
aws,cloudtrail,delete-trail
aws,cloudtrail,describe-trails
aws,cloudtrail,get-trail-status
aws,cloudtrail,list-public-keys
aws,cloudtrail,list-tags
aws,cloudtrail,lookup-events
aws,cloudtrail,remove-tags
aws,cloudtrail,start-logging
aws,cloudtrail,stop-logging
aws,cloudtrail,update-subscription
aws,cloudtrail,update-trail
aws,cloudtrail,validate-logs
aws,cloudwatch
aws,cloudwatch,delete-alarms
aws,cloudwatch,describe-alarm-history
aws,cloudwatch,describe-alarms
aws,cloudwatch,describe-alarms-for-metric
aws,cloudwatch,disable-alarm-actions
aws,cloudwatch,enable-alarm-actions
aws,cloudwatch,get-metric-statistics
aws,cloudwatch,list-metrics
aws,cloudwatch,put-metric-alarm
aws,cloudwatch,put-metric-data
aws,cloudwatch,set-alarm-state
aws,codecommit
aws,codecommit,batch-get-repositories
aws,codecommit,create-branch
aws,codecommit,create-repository
aws,codecommit,delete-repository
aws,codecommit,get-branch
aws,codecommit,get-commit
aws,codecommit,get-repository
aws,codecommit,get-repository-triggers
aws,codecommit,list-branches
aws,codecommit,list-repositories
aws,codecommit,put-repository-triggers
aws,codecommit,test-repository-triggers
aws,codecommit,update-default-branch
aws,codecommit,update-repository-description
aws,codecommit,update-repository-name
aws,codepipeline
aws,codepipeline,acknowledge-job
aws,codepipeline,acknowledge-third-party-job
aws,codepipeline,create-custom-action-type
aws,codepipeline,create-pipeline
aws,codepipeline,delete-custom-action-type
aws,codepipeline,delete-pipeline
aws,codepipeline,disable-stage-transition
aws,codepipeline,enable-stage-transition
aws,codepipeline,get-job-details
aws,codepipeline,get-pipeline
aws,codepipeline,get-pipeline-state
aws,codepipeline,get-third-party-job-details
aws,codepipeline,list-action-types
aws,codepipeline,list-pipelines
aws,codepipeline,poll-for-jobs
aws,codepipeline,poll-for-third-party-jobs
aws,codepipeline,put-action-revision
aws,codepipeline,put-job-failure-result
aws,codepipeline,put-job-success-result
aws,codepipeline,put-third-party-job-failure-result
aws,codepipeline,put-third-party-job-success-result
aws,codepipeline,start-pipeline-execution
aws,codepipeline,update-pipeline
aws,cognito-identity
aws,cognito-identity,create-identity-pool
aws,cognito-identity,delete-identities
aws,cognito-identity,delete-identity-pool
aws,cognito-identity,describe-identity
aws,cognito-identity,describe-identity-pool
aws,cognito-identity,get-credentials-for-identity
aws,cognito-identity,get-id
aws,cognito-identity,get-identity-pool-roles
aws,cognito-identity,get-open-id-token
aws,cognito-identity,get-open-id-token-for-developer-identity
aws,cognito-identity,list-identities
aws,cognito-identity,list-identity-pools
aws,cognito-identity,lookup-developer-identity
aws,cognito-identity,merge-developer-identities
aws,cognito-identity,set-identity-pool-roles
aws,cognito-identity,unlink-developer-identity
aws,cognito-identity,unlink-identity
aws,cognito-identity,update-identity-pool
aws,cognito-idp
aws,cognito-idp,add-custom-attributes
aws,cognito-idp,admin-confirm-sign-up
aws,cognito-idp,admin-delete-user
aws,cognito-idp,admin-delete-user-attributes
aws,cognito-idp,admin-disable-user
aws,cognito-idp,admin-enable-user
aws,cognito-idp,admin-get-user
aws,cognito-idp,admin-reset-user-password
aws,cognito-idp,admin-set-user-settings
aws,cognito-idp,admin-update-user-attributes
aws,cognito-idp,change-password
aws,cognito-idp,confirm-forgot-password
aws,cognito-idp,confirm-sign-up
aws,cognito-idp,create-user-pool
aws,cognito-idp,create-user-pool-client
aws,cognito-idp,delete-user
aws,cognito-idp,delete-user-attributes
aws,cognito-idp,delete-user-pool
aws,cognito-idp,delete-user-pool-client
aws,cognito-idp,describe-user-pool
aws,cognito-idp,describe-user-pool-client
aws,cognito-idp,forgot-password
aws,cognito-idp,get-user
aws,cognito-idp,get-user-attribute-verification-code
aws,cognito-idp,list-user-pool-clients
aws,cognito-idp,list-user-pools
aws,cognito-idp,list-users
aws,cognito-idp,resend-confirmation-code
aws,cognito-idp,set-user-settings
aws,cognito-idp,sign-up
aws,cognito-idp,update-user-attributes
aws,cognito-idp,update-user-pool
aws,cognito-idp,update-user-pool-client
aws,cognito-idp,verify-user-attribute
aws,cognito-sync
aws,cognito-sync,bulk-publish
aws,cognito-sync,delete-dataset
aws,cognito-sync,describe-dataset
aws,cognito-sync,describe-identity-pool-usage
aws,cognito-sync,describe-identity-usage
aws,cognito-sync,get-bulk-publish-details
aws,cognito-sync,get-cognito-events
aws,cognito-sync,get-identity-pool-configuration
aws,cognito-sync,list-datasets
aws,cognito-sync,list-identity-pool-usage
aws,cognito-sync,list-records
aws,cognito-sync,register-device
aws,cognito-sync,set-cognito-events
aws,cognito-sync,set-identity-pool-configuration
aws,cognito-sync,subscribe-to-dataset
aws,cognito-sync,unsubscribe-from-dataset
aws,cognito-sync,update-records
aws,configservice
aws,configservice,delete-config-rule
aws,configservice,delete-delivery-channel
aws,configservice,deliver-config-snapshot
aws,configservice,describe-compliance-by-config-rule
aws,configservice,describe-compliance-by-resource
aws,configservice,describe-config-rule-evaluation-status
aws,configservice,describe-config-rules
aws,configservice,describe-configuration-recorder-status
aws,configservice,describe-configuration-recorders
aws,configservice,describe-delivery-channel-status
aws,configservice,describe-delivery-channels
aws,configservice,get-compliance-details-by-config-rule
aws,configservice,get-compliance-details-by-resource
aws,configservice,get-compliance-summary-by-config-rule
aws,configservice,get-compliance-summary-by-resource-type
aws,configservice,get-resource-config-history
aws,configservice,get-status
aws,configservice,list-discovered-resources
aws,configservice,put-config-rule
aws,configservice,put-configuration-recorder
aws,configservice,put-delivery-channel
aws,configservice,put-evaluations
aws,configservice,start-configuration-recorder
aws,configservice,stop-configuration-recorder
aws,configservice,subscribe
aws,configure
aws,configure,add-model
aws,configure,get
aws,configure,list
aws,configure,set
aws,datapipeline
aws,datapipeline,activate-pipeline
aws,datapipeline,add-tags
aws,datapipeline,create-default-roles
aws,datapipeline,create-pipeline
aws,datapipeline,deactivate-pipeline
aws,datapipeline,delete-pipeline
aws,datapipeline,describe-objects
aws,datapipeline,describe-pipelines
aws,datapipeline,evaluate-expression
aws,datapipeline,get-pipeline-definition
aws,datapipeline,list-pipelines
aws,datapipeline,list-runs
aws,datapipeline,poll-for-task
aws,datapipeline,put-pipeline-definition
aws,datapipeline,query-objects
aws,datapipeline,remove-tags
aws,datapipeline,report-task-progress
aws,datapipeline,report-task-runner-heartbeat
aws,datapipeline,set-status
aws,datapipeline,set-task-status
aws,datapipeline,validate-pipeline-definition
