octl
octl,cluster
octl,cluster,create
octl,cluster,delete
octl,cluster,get
octl,cluster,list
octl,cluster,patch
octl,cluster,update
octl,cluster,agent
octl,cluster,agent,create
octl,cluster,agent,delete
octl,cluster,agent,get
octl,cluster,agent,list
octl,cluster,agent,patch
octl,cluster,agent,update
octl,cluster,agent,extension
octl,cluster,agent,extension,create
octl,cluster,agent,extension,delete
octl,cluster,agent,extension,get
octl,cluster,agent,extension,list
octl,cluster,agent,extension,patch
octl,cluster,agent,extension,update
octl,cluster,agent,extension,apply
octl,cluster,agent,extension,template
octl,cluster,agent,apply
octl,cluster,agent,template
octl,cluster,brm
octl,cluster,brm,create
octl,cluster,brm,delete
octl,cluster,brm,get
octl,cluster,brm,list
octl,cluster,brm,patch
octl,cluster,brm,update
octl,cluster,brm,backup
octl,cluster,brm,backup,create
octl,cluster,brm,backup,delete
octl,cluster,brm,backup,get
octl,cluster,brm,backup,list
octl,cluster,brm,backup,patch
octl,cluster,brm,backup,update
octl,cluster,brm,backup,apply
octl,cluster,brm,backup,template
octl,cluster,brm,backuplocation
octl,cluster,brm,backuplocation,create
octl,cluster,brm,backuplocation,delete
octl,cluster,brm,backuplocation,get
octl,cluster,brm,backuplocation,list
octl,cluster,brm,backuplocation,patch
octl,cluster,brm,backuplocation,update
octl,cluster,brm,backuplocation,apply
octl,cluster,brm,backuplocation,template
octl,cluster,brm,restore
octl,cluster,brm,restore,create
octl,cluster,brm,restore,delete
octl,cluster,brm,restore,get
octl,cluster,brm,restore,list
octl,cluster,brm,restore,patch
octl,cluster,brm,restore,update
octl,cluster,brm,restore,apply
octl,cluster,brm,restore,template
octl,cluster,brm,schedule
octl,cluster,brm,schedule,create
octl,cluster,brm,schedule,delete
octl,cluster,brm,schedule,get
octl,cluster,brm,schedule,list
octl,cluster,brm,schedule,patch
octl,cluster,brm,schedule,update
octl,cluster,brm,schedule,apply
octl,cluster,brm,schedule,template
octl,cluster,brm,snapshotlocation
octl,cluster,brm,snapshotlocation,create
octl,cluster,brm,snapshotlocation,delete
octl,cluster,brm,snapshotlocation,get
octl,cluster,brm,snapshotlocation,list
octl,cluster,brm,snapshotlocation,patch
octl,cluster,brm,snapshotlocation,update
octl,cluster,brm,snapshotlocation,apply
octl,cluster,brm,snapshotlocation,template
octl,cluster,brm,apply
octl,cluster,brm,template
octl,cluster,health
octl,cluster,health,get
octl,cluster,health,list
octl,cluster,inspection
octl,cluster,inspection,create
octl,cluster,inspection,delete
octl,cluster,inspection,get
octl,cluster,inspection,list
octl,cluster,inspection,patch
octl,cluster,inspection,update
octl,cluster,inspection,apply
octl,cluster,inspection,template
octl,cluster,namespace
octl,cluster,namespace,create
octl,cluster,namespace,delete
octl,cluster,namespace,get
octl,cluster,namespace,list
octl,cluster,namespace,patch
octl,cluster,namespace,update
octl,cluster,namespace,apply
octl,cluster,namespace,template
octl,cluster,object
octl,cluster,object,get
octl,cluster,object,list
octl,cluster,provisionedcluster
octl,cluster,provisionedcluster,create
octl,cluster,provisionedcluster,delete
octl,cluster,provisionedcluster,get
octl,cluster,provisionedcluster,list
octl,cluster,provisionedcluster,patch
octl,cluster,provisionedcluster,update
octl,cluster,provisionedcluster,nodepool
octl,cluster,provisionedcluster,nodepool,create
octl,cluster,provisionedcluster,nodepool,delete
octl,cluster,provisionedcluster,nodepool,get
octl,cluster,provisionedcluster,nodepool,list
octl,cluster,provisionedcluster,nodepool,patch
octl,cluster,provisionedcluster,nodepool,update
octl,cluster,provisionedcluster,nodepool,apply
octl,cluster,provisionedcluster,nodepool,template
octl,cluster,provisionedcluster,apply
octl,cluster,provisionedcluster,template
octl,cluster,apply
octl,cluster,template
octl,clustergroup
octl,clustergroup,create
octl,clustergroup,delete
octl,clustergroup,get
octl,clustergroup,list
octl,clustergroup,patch
octl,clustergroup,update
octl,clustergroup,apply
octl,clustergroup,template
octl,example
octl,example,create
octl,example,delete
octl,example,get
octl,example,list
octl,example,patch
octl,example,update
octl,example,subexample
octl,example,subexample,create
octl,example,subexample,delete
octl,example,subexample,get
octl,example,subexample,list
octl,example,subexample,patch
octl,example,subexample,update
octl,example,subexample,subsubexample
octl,example,subexample,subsubexample,get
octl,example,subexample,subsubexample,list
octl,example,subexample,subsubexamplesingleton
octl,example,subexample,subsubexamplesingleton,create
octl,example,subexample,subsubexamplesingleton,delete
octl,example,subexample,subsubexamplesingleton,get
octl,example,subexample,subsubexamplesingleton,list
octl,example,subexample,subsubexamplesingleton,patch
octl,example,subexample,subsubexamplesingleton,update
octl,example,subexample,subsubexamplesingleton,apply
octl,example,subexample,subsubexamplesingleton,template
octl,example,subexample,apply
octl,example,subexample,template
octl,example,subexamplesingleton
octl,example,subexamplesingleton,create
octl,example,subexamplesingleton,delete
octl,example,subexamplesingleton,get
octl,example,subexamplesingleton,list
octl,example,subexamplesingleton,patch
octl,example,subexamplesingleton,update
octl,example,subexamplesingleton,apply
octl,example,subexamplesingleton,template
octl,example,apply
octl,example,template
octl,system
octl,system,create
octl,system,delete
octl,system,get
octl,system,list
octl,system,patch
octl,system,update
octl,system,apply
octl,system,template
octl,workspace
octl,workspace,create
octl,workspace,delete
octl,workspace,get
octl,workspace,list
octl,workspace,patch
octl,workspace,update
octl,workspace,apply
octl,workspace,template
octl,apply
